FILEID,STUSAB,SUMLEV,GEOVAR,GEOCOMP,CHARITER,LOGRECNO,GEOID,GEOCODE,REGION,DIVISION,STATE,STATENS,COUNTY,COUNTYCC,COUNTYNS,CBSA,MEMI,CSA,METDIV,VTD,VTDI,AREALAND,AREAWATR,BASENAME,NAME,FUNCSTAT,POP100,HU100,INTPTLAT,INTPTLON,LSADC,GEOID20,P0010001,P0010002,P0010003,P0010004,P0010005,P0010006,P0010007,P0010008,P0010009,P0010010,P0010011,P0010012,P0010013,P0010014,P0010015,P0010016,P0010017,P0010018,P0010019,P0010020,P0010021,P0010022,P0010023,P0010024,P0010025,P0010026,P0010027,P0010028,P0010029,P0010030,P0010031,P0010032,P0010033,P0010034,P0010035,P0010036,P0010037,P0010038,P0010039,P0010040,P0010041,P0010042,P0010043,P0010044,P0010045,P0010046,P0010047,P0010048,P0010049,P0010050,P0010051,P0010052,P0010053,P0010054,P0010055,P0010056,P0010057,P0010058,P0010059,P0010060,P0010061,P0010062,P0010063,P0010064,P0010065,P0010066,P0010067,P0010068,P0010069,P0010070,P0010071,P0020001,P0020002,P0020003,P0020004,P0020005,P0020006,P0020007,P0020008,P0020009,P0020010,P0020011,P0020012,P0020013,P0020014,P0020015,P0020016,P0020017,P0020018,P0020019,P0020020,P0020021,P0020022,P0020023,P0020024,P0020025,P0020026,P0020027,P0020028,P0020029,P0020030,P0020031,P0020032,P0020033,P0020034,P0020035,P0020036,P0020037,P0020038,P0020039,P0020040,P0020041,P0020042,P0020043,P0020044,P0020045,P0020046,P0020047,P0020048,P0020049,P0020050,P0020051,P0020052,P0020053,P0020054,P0020055,P0020056,P0020057,P0020058,P0020059,P0020060,P0020061,P0020062,P0020063,P0020064,P0020065,P0020066,P0020067,P0020068,P0020069,P0020070,P0020071,P0020072,P0020073,P0030001,P0030002,P0030003,P0030004,P0030005,P0030006,P0030007,P0030008,P0030009,P0030010,P0030011,P0030012,P0030013,P0030014,P0030015,P0030016,P0030017,P0030018,P0030019,P0030020,P0030021,P0030022,P0030023,P0030024,P0030025,P0030026,P0030027,P0030028,P0030029,P0030030,P0030031,P0030032,P0030033,P0030034,P0030035,P0030036,P0030037,P0030038,P0030039,P0030040,P0030041,P0030042,P0030043,P0030044,P0030045,P0030046,P0030047,P0030048,P0030049,P0030050,P0030051,P0030052,P0030053,P0030054,P0030055,P0030056,P0030057,P0030058,P0030059,P0030060,P0030061,P0030062,P0030063,P0030064,P0030065,P0030066,P0030067,P0030068,P0030069,P0030070,P0030071,P0040001,P0040002,P0040003,P0040004,P0040005,P0040006,P0040007,P0040008,P0040009,P0040010,P0040011,P0040012,P0040013,P0040014,P0040015,P0040016,P0040017,P0040018,P0040019,P0040020,P0040021,P0040022,P0040023,P0040024,P0040025,P0040026,P0040027,P0040028,P0040029,P0040030,P0040031,P0040032,P0040033,P0040034,P0040035,P0040036,P0040037,P0040038,P0040039,P0040040,P0040041,P0040042,P0040043,P0040044,P0040045,P0040046,P0040047,P0040048,P0040049,P0040050,P0040051,P0040052,P0040053,P0040054,P0040055,P0040056,P0040057,P0040058,P0040059,P0040060,P0040061,P0040062,P0040063,P0040064,P0040065,P0040066,P0040067,P0040068,P0040069,P0040070,P0040071,P0040072,P0040073,H0010001,H0010002,H0010003,P0050001,P0050002,P0050003,P0050004,P0050005,P0050006,P0050007,P0050008,P0050009,P0050010
PLST,GA,700,00,00,000,0039264,7000000US13001000002,13001000002,3,5,13,01705317,001,H1,00349113,99999,9,999,99999,000002,A,98584431,599161,2,2,N,3563,1707,+31.7849870,-082.3294373,00,13001000002,3563,3436,1291,1848,12,14,0,271,127,119,47,15,4,2,45,3,1,0,0,1,0,0,1,0,0,7,2,0,0,0,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3563,403,3160,3079,1215,1838,7,10,0,9,81,75,46,15,4,0,5,3,0,0,0,1,0,0,1,0,0,5,2,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2633,2559,1002,1362,8,12,0,175,74,70,24,8,2,2,30,3,1,0,0,0,0,0,0,0,0,3,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2633,261,2372,2329,954,1358,7,8,0,2,43,39,24,8,2,0,2,3,0,0,0,0,0,0,0,0,0,3,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1707,1439,268,73,73,73,0,0,0,0,0,0,0
PLST,GA,700,00,00,000,0039265,7000000US1300100001B,1300100001B,3,5,13,01705317,001,H1,00349113,99999,9,999,99999,00001B,A,146871344,2590692,1B,1B,N,1834,866,+31.8940688,-082.3575958,00,1300100001B,1834,1747,1598,109,4,3,0,33,87,80,32,20,4,2,18,3,1,0,0,0,0,0,0,0,0,6,0,2,0,0,0,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1834,76,1758,1695,1575,109,3,3,0,5,63,59,30,20,4,0,2,2,1,0,0,0,0,0,0,0,0,4,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1415,1365,1263,71,4,3,0,24,50,45,11,19,2,2,8,2,1,0,0,0,0,0,0,0,0,4,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1415,46,1369,1330,1251,71,3,3,0,2,39,35,11,19,2,0,0,2,1,0,0,0,0,0,0,0,0,4,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,866,751,115,0,0,0,0,0,0,0,0,0,0
PLST,GA,700,00,00,000,0039266,7000000US1300100001C,1300100001C,3,5,13,01705317,001,H1,00349113,99999,9,999,99999,00001C,A,78466794,410994,1C,1C,N,1538,569,+31.8246349,-082.3672301,00,1300100001C,1538,1498,1261,156,0,5,0,76,40,38,11,11,0,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1538,116,1422,1397,1242,150,0,5,0,0,25,23,11,11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1216,1197,1022,120,0,4,0,51,19,17,5,9,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1216,68,1148,1132,1008,120,0,4,0,0,16,14,5,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,569,487,82,197,197,197,0,0,0,0,0,0,0
PLST,GA,700,00,00,000,0039267,7000000US1300100003C,1300100003C,3,5,13,01705317,001,H1,00349113,99999,9,999,99999,00003C,A,222486416,130905,3C,3C,N,2515,1189,+31.7418136,-082.2771097,00,1300100003C,2515,2397,1575,619,16,39,0,148,118,106,33,18,3,0,41,5,0,0,0,1,0,5,0,0,0,8,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2515,263,2252,2183,1528,608,3,39,0,5,69,63,29,17,3,0,8,5,0,0,0,1,0,0,0,0,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1920,1857,1270,458,15,27,0,87,63,57,4,16,3,0,24,5,0,0,0,0,0,5,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1920,144,1776,1739,1247,457,3,27,0,5,37,34,3,15,3,0,8,5,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1189,1013,176,79,79,0,0,79,0,0,0,0,0
PLST,GA,700,00,00,000,0039268,7000000US1300100004B,1300100004B,3,5,13,01705317,001,H1,00349113,99999,9,999,99999,00004B,A,222241345,724705,4B,4B,N,1321,629,+31.5799552,-082.2062170,00,1300100004B,1321,1256,1157,65,3,5,1,25,65,61,29,7,1,0,23,0,0,0,0,0,0,1,0,0,0,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1321,62,1259,1216,1147,59,2,5,1,2,43,41,29,7,1,0,4,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,990,966,905,36,3,5,1,16,24,21,3,4,1,0,13,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,990,32,958,944,904,31,2,5,1,1,14,12,3,4,1,0,4,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,629,539,90,49,43,0,43,0,0,6,0,0,6
PLST,GA,700,00,00,000,0039269,7000000US1300100004D,1300100004D,3,5,13,01705317,001,H1,00349113,99999,9,999,99999,00004D,A,142660073,416589,4D,4D,N,2455,1055,+31.7025263,-082.3549210,00,1300100004D,2455,2393,2011,162,16,45,0,159,62,59,17,10,1,0,29,1,1,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2455,323,2132,2101,1895,158,3,45,0,0,31,28,16,10,1,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1880,1846,1594,99,7,42,0,104,34,31,5,4,0,0,20,1,1,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1880,227,1653,1640,1496,99,3,42,0,0,13,10,5,4,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1055,913,142,0,0,0,0,0,0,0,0,0,0
PLST,GA,700,00,00,000,0039270,7000000US1300100005A,1300100005A,3,5,13,01705317,001,H1,00349113,99999,9,999,99999,00005A,A,71900176,123430,5A,5A,N,2229,970,+31.7690715,-082.3805917,00,1300100005A,2229,2091,1562,234,10,12,0,273,138,136,38,18,11,1,68,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2229,395,1834,1768,1521,226,0,12,0,9,66,64,34,16,11,0,3,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1624,1566,1221,145,10,12,0,178,58,57,11,13,5,1,27,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1624,244,1380,1352,1197,140,0,12,0,3,28,27,7,12,5,0,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,970,806,164,0,0,0,0,0,0,0,0,0,0
PLST,GA,700,00,00,000,0039271,7000000US1300100005B,1300100005B,3,5,13,01705317,001,H1,00349113,99999,9,999,99999,00005B,A,134348253,1468451,5B,5B,N,1843,837,+31.7651328,-082.4735850,00,1300100005B,1843,1796,1535,168,20,2,0,71,47,47,9,13,1,0,23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1843,163,1680,1656,1478,166,8,2,0,2,24,24,9,13,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1415,1386,1201,132,13,2,0,38,29,29,0,12,1,0,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1415,84,1331,1317,1174,132,8,2,0,1,14,14,0,12,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,837,721,116,0,0,0,0,0,0,0,0,0,0
PLST,GA,700,00,00,000,0039272,7000000US130010003A1,130010003A1,3,5,13,01705317,001,H1,00349113,99999,9,999,99999,0003A1,A,198865828,3861694,3A1,3A1,N,1146,674,+31.8511270,-082.1819405,00,130010003A1,1146,1123,1081,26,10,3,0,3,23,21,1,12,1,0,6,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1146,24,1122,1107,1073,25,7,2,0,0,15,14,1,12,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,865,850,821,18,8,3,0,0,15,13,0,10,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,865,12,853,841,817,17,5,2,0,0,12,11,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,674,466,208,0,0,0,0,0,0,0,0,0,0
PLST,GA,700,00,00,000,0039273,7000000US13003000001,13003000001,3,5,13,01705317,003,H1,00345784,20060,2,999,99999,000001,A,410375754,1373280,PEARSON COUNTY,PEARSON COUNTY,N,3121,1263,+31.2994639,-082.8720257,00,13003000001,3121,2920,2306,176,21,1,0,416,201,185,16,39,3,0,120,6,0,0,0,0,0,0,0,0,1,11,0,2,0,1,0,0,5,1,1,0,1,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,3121,748,2373,2304,2106,174,12,1,0,11,69,63,16,36,2,0,3,6,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,2289,2169,1764,129,16,1,0,259,120,111,4,30,2,0,68,6,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,4,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2289,454,1835,1791,1652,128,10,1,0,0,44,41,4,27,2,0,2,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1263,1112,151,0,0,0,0,0,0,0,0,0,0
